[19/Jun/2021 17:45:50] INFO [django.utils.autoreload:637] Watching for file changes with StatReloader
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:315] Waiting for apps ready_event.
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:327] Apps ready_event triggered. Sending autoreload_started signal.
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:281] Watching dir C:\Users\nuhan\AppData\Local\Programs\Python\Python38\lib\site-packages\django_material_icons\templates with glob **/*.
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:281] Watching dir D:\Workspace\Cinemix-master\movieapp\moviesite\templates with glob **/*.
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:281] Watching dir D:\Workspace\Cinemix-master\movieapp\locale with glob **/*.mo.
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:281] Watching dir C:\Users\nuhan\AppData\Local\Programs\Python\Python38\lib\site-packages\django_material_icons\locale with glob **/*.mo.
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:281] Watching dir C:\Users\nuhan\AppData\Local\Programs\Python\Python38\lib\site-packages\omdb\locale with glob **/*.mo.
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:281] Watching dir D:\Workspace\Cinemix-master\movieapp\moviesite\locale with glob **/*.mo.
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1610120381.8606958
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\__init__.py first seen with mtime 1623369484.7662337
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1623369487.7962337
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\urllib3\packages\six.py first seen with mtime 1610120381.8746994
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1623369494.9222343
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1623369495.1392355
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\asyncio\windows_events.py first seen with mtime 1589424158.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\template\context.py first seen with mtime 1623369496.1147037
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1623369496.147705
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\files\utils.py first seen with mtime 1623369494.9592354
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\json\__init__.py first seen with mtime 1589424158.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1623369495.2102337
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1623369495.255237
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1623369495.2082355
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1623369495.1382346
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1602827949.1564538
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\asyncio\__init__.py first seen with mtime 1589424158.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1623369495.1962354
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\asyncio\subprocess.py first seen with mtime 1589424158.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\chardet\utf8prober.py first seen with mtime 1595194896.5431185
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\utils\hashable.py first seen with mtime 1623369496.233704
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1623369495.2332375
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\views\generic\base.py first seen with mtime 1623369496.3037043
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\zipfile.py first seen with mtime 1589424160.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\unittest\loader.py first seen with mtime 1589424160.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\asyncio\constants.py first seen with mtime 1589424158.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\gzip.py first seen with mtime 1589424158.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\chardet\langbulgarianmodel.py first seen with mtime 1595194896.5431185
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\urls\conf.py first seen with mtime 1623369496.1887045
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\asyncio\futures.py first seen with mtime 1589424158.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1623369494.868234
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\utils\_os.py first seen with mtime 1623369496.1987045
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\middleware\security.py first seen with mtime 1623369496.1067066
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\omdb\_compat.py first seen with mtime 1623390804.126752
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1623369487.8232322
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1623369495.0602348
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\DLLs\_lzma.pyd first seen with mtime 1589424176.0
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1623369494.9342349
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\urllib3\contrib\_appengine_environ.py first seen with mtime 1610120381.8626957
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\site-packages\sqlparse\cli.py first seen with mtime 1602827949.144454
[19/Jun/2021 17:45:50] DEBUG [django.utils.autoreload:379] File C:\Users\nuhan\AppData\Local\Programs\Python\Python38\Lib\fnmatch.py first seen with mtime 1589424158.0
